Crop,Altitude_Range,Soil_Type(pH),Min Temp,Max Temp,Min Rainfall,Min_Rainfall,Max_Rainfall
Avocado,1000 -2200,5.5 â€“ 6.5.,20.0,30.0,over 1000 ,1000.0,
Banana,0-1800,5.5-6.5,20.0,30.0,1000-2500,1000.0,2500.0
Beans,1000-2000,6.0-7.0,20.0,30.0,750-4000,750.0,4000.0
Cassava,0-1500,4.5-6.5,25.0,29.0,1000-1500,1000.0,1500.0
Coconut,0-600,4.5-8.0,,,1500-2500,1500.0,2500.0
Cotton,1000,,24.0,29.0,800-1200,800.0,1200.0
Cowpea,1200-1500,5.6-6,29.0,35.0,200-400,200.0,400.0
Finger Millet,0-2500,,10.0,30.0,250-1000,250.0,1000.0
Green Gram,0-1600,6.0-7.5,28.0,30.0,350-650,350.0,650.0
Irish Potato,,,15.0,18.0,400-1500,400.0,1500.0
Kale,800-2200,5.5-7.5,17.0,30.0,500-600,500.0,600.0
Managu,0-2600,5.5-6.8,18.0,30.0,Atleast 500,500.0,
Maize,0-2200,5.5-7.5,25.0,30.0,400-1200,400.0,1200.0
Mango,0-1500,5.5-7.5,20.0,26.0,500-1000,500.0,1000.0
Napier Grass,2000,Loam soil,25.0,40.0,800-2400,800.0,2400.0
Onion,500-2000,,15.0,30.0,500-700,500.0,700.0
Passion Fruit,0-2000,7,16.0,30.0,900-2000,900.0,2000.0
Pigeon Pea,,5-7,18.0,38.0,600-1000,600.0,1000.0
Sorghum,0-2500,4.8-6.0,15.0,30.0,250-900,250.0,900.0
SoyBean,0-2000,5.6-7.0,20.0,25.0,400,400.0,1200.0
Spinach,800-2200,7,16.0,20.0,500-1500,500.0,1500.0
Sunflower,0-2500,6.0-7.5,18.0,35.0,500-750,500.0,750.0
Sweet potato,0-2500,4.5-7.0,15.0,30.0,750-1500,750.0,1500.0
Tomato,0-2000,5.0-7.0,18.0,29.0,760-1300,760.0,1300.0
Wheat,1500-2900,,15.0,25.0,500-1300,500.0,1300.0
Cabbage,,,16.0,20.0,,400.0,500.0
Carrot,,,15.0,22.0,450-600,450.0,600.0
Sugarcane,,,21.0,27.0,,1200.0,1500.0
Rice,,,20.0,36.0,,800.0,2000.0
Pumpkin,,,18.0,27.0,,,
Watermelon,,,22.0,28.0,,400.0,600.0
Millet pearl,,,30.0,34.0,250-900,250.0,900.0
Cashewnut,,,24.0,28.0,500-1200,500.0,1200.0
"Pea, green",,,12.0,20.0,,1500.0,2100.0
sesame,,,26.0,30.0,,300.0,600.0
Chick-pea,,,15.0,29.0,,600.0,1000.0
Groundnut,,,28.0,30.0,,500.0,600.0
Hyacinth bean,,,18.0,35.0,,2500.0,3000.0
